,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
952,MUTHOOTFIN,EQ,2019-02-14,511.1,507.0,529.75,507.0,527.9,527.15,521.91,1131695,590646557.1,30780,464724,41.06,2,2019,446.71079242308804,0.03140285658383868,Slight or No change
953,MUTHOOTFIN,EQ,2019-02-15,527.15,526.0,530.5,510.6,517.5,518.25,519.05,918950,476979876.7,31221,232780,25.33,2,2019,446.87346084785503,-0.016883240064497707,Slight or No change
954,MUTHOOTFIN,EQ,2019-02-18,518.25,522.0,525.85,515.0,519.5,520.4,521.56,555956,289965956.65,23782,206069,37.07,2,2019,446.97446861564276,0.004148576941630511,Slight or No change
955,MUTHOOTFIN,EQ,2019-02-19,520.4,520.0,528.5,516.0,517.9,518.95,522.76,639503,334304454.5,26542,168958,26.42,2,2019,447.0880251060906,-0.002786318216756234,Slight or No change
956,MUTHOOTFIN,EQ,2019-02-20,518.95,517.9,525.0,515.8,520.0,519.2,519.97,504918,262543695.2,17319,161903,32.07,2,2019,447.1777415569488,0.00048174197899597537,Slight or No change
957,MUTHOOTFIN,EQ,2019-02-21,519.2,520.0,538.35,520.0,535.0,534.35,531.48,1727824,918298511.45,37693,420844,24.36,2,2019,447.5472944495954,0.02917950693374416,Slight or No change
958,MUTHOOTFIN,EQ,2019-02-22,534.35,537.6,542.0,526.6,537.1,535.25,536.57,1716682,921114404.15,55877,475515,27.7,2,2019,447.9151490931901,0.001684289323476973,Slight or No change
959,MUTHOOTFIN,EQ,2019-02-25,535.25,537.0,542.7,533.0,535.0,536.65,537.85,869664,467748179.45,20263,276244,31.76,2,2019,448.1032960899042,0.002615600186828493,Slight or No change
960,MUTHOOTFIN,EQ,2019-02-26,536.65,534.0,535.9,519.15,526.05,525.95,526.88,678123,357292040.15,21681,158378,23.36,2,2019,448.2317900864739,-0.019938507407062156,Slight or No change
961,MUTHOOTFIN,EQ,2019-02-27,525.95,527.95,534.9,513.5,517.0,516.85,523.25,890471,465941222.95,17489,256157,28.77,2,2019,448.38019661106125,-0.017302024907310587,Slight or No change
